Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00055-20211201_170617.jpg,1903-1904,Cleopatra,26/12/1903,,True,578484,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00055-20211201_170617.jpg,1903-1904,Het Minnebrugje,26/12/1903,,True,578484,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00057-20211201_170636.jpg,1903-1904,De Bruid der Zee,29/12/1903,,False,660334,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00059-20211201_170652.jpg,1903-1904,Prinses Zonneschijn,02/01/1904,Ter gelegenheid van Nieuwjaar,False,992762,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00061-20211201_170707.jpg,1903-1904,Czaar en Timmerman,05/01/1904,Volgens de handgeschreven nota is deze opvoering afgelast,True,472759,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00061-20211201_170707.jpg,1903-1904,De Kapel,05/01/1904,Volgens de handgeschreven nota is deze opvoering afgelast,True,472759,De Kapel,NL,Jan Blockx,1903,De Kapel,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00063-20211201_170730.jpg,1903-1904,De Vrijschutter,07/01/1904,,False,734507,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00063-20211201_170730.jpg,1903-1904,De Vrijschutter,09/01/1904,,False,438640,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00067-20211201_170805.jpg,1903-1904,De Meesterzangers van N¸rnberg,16/01/1904,Gala,False,886589,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00069-20211201_170821.jpg,1903-1904,De Meesterzangers van N¸rnberg,19/01/1904,gala,False,350414,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00071-20211201_170841.jpg,1903-1904,De Meesterzangers van N¸rnberg,23/01/1904,,False,649038,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00071-20211201_170841.jpg,1903-1904,De Meesterzangers van N¸rnberg,26/01/1904,,False,994794,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00073-20211201_170859.jpg,1903-1904,De Vrijschutter,24/01/1904,,False,461196,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00077-20211201_170932.jpg,1903-1904,De Meesterzangers van N¸rnberg,30/01/1904,,False,211543,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00077-20211201_170932.jpg,1903-1904,De Meesterzangers van N¸rnberg,02/02/1904,,False,607228,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00081-20211201_171007.jpg,1903-1904,De Bruid der Zee,04/02/1904,,True,777637,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00081-20211201_171007.jpg,1903-1904,Winternachtsdroom,04/02/1904,,True,777637,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00083-20211201_171022.jpg,1903-1904,De Meesterzangers van N¸rnberg,06/02/1904,,False,457023,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00083-20211201_171022.jpg,1903-1904,De Meesterzangers van N¸rnberg,09/02/1904,,False,853599,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00087-20211201_171048.jpg,1903-1904,De Meesterzangers van N¸rnberg,13/02/1904,,False,658444,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00089-20211201_171103.jpg,1903-1904,Herbergprinses,16/02/1904,Ter gelegenheid van Vastenavond,True,949015,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00089-20211201_171103.jpg,1903-1904,Winternachtsdroom,16/02/1904,Ter gelegenheid van Vastenavond,True,949015,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00091-20211201_171118.jpg,1903-1904,Prinses Zonneschijn,18/02/1903,Feestavond,False,507542,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1902-1903,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00093-20211201_171133.jpg,1903-1904,Herbergprinses,20/02/1904,,True,795520,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00093-20211201_171133.jpg,1903-1904,Winternachtsdroom,20/02/1904,,True,795520,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00095-20211201_171151.jpg,1903-1904,Prinses Zonneschijn,23/02/1904,,False,632398,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00097-20211201_171207.jpg,1903-1904,De Meesterzangers van N¸rnberg,27/02/1904,,False,388885,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00099-20211201_171224.jpg,1903-1904,De Bruid der Zee,01/03/1904,,True,169338,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00099-20211201_171224.jpg,1903-1904,De Kapel,01/03/1904,,True,169338,De Kapel,NL,Jan Blockx,1903,De Kapel,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00101-20211201_171243.jpg,1903-1904,Hans en Grietje,05/03/1904,,True,930579,Hans en Grietje,N/A,N/A,N/A,N/A,N/A,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00101-20211201_171243.jpg,1903-1904,Het Arendsnest,05/03/1904,,True,930579,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00103-20211201_171256.jpg,1903-1904,Herbergprinses,08/03/1904,Feestavond,False,986560,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00105-20211201_171311.jpg,1903-1904,Hans en Grietje,15/03/1904,Feestavond,True,458647,Hans en Grietje,N/A,N/A,N/A,N/A,N/A,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00105-20211201_171311.jpg,1903-1904,Het Minnebrugje,15/03/1904,Feestavond,True,458647,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00107-20211201_171327.jpg,1903-1904,De Meesterzangers van N¸rnberg,12/03/1904,,False,287000,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00109-20211201_171342.jpg,1903-1904,De Vrijschutter,19/03/1904,Volksvertoning,True,638622,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00109-20211201_171342.jpg,1903-1904,Het Minnebrugje,19/03/1904,Volksvertoning,True,638622,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00111-20211201_171358.jpg,1903-1904,De Meesterzangers van N¸rnberg,22/03/1904,Feestavond,False,140864,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00113-20211201_171413.jpg,1903-1904,Het Arendsnest,26/03/1904,,True,103293,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00113-20211201_171413.jpg,1903-1904,Czaar en Timmerman,26/03/1904,,True,103293,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00115-20211201_171432.jpg,1903-1904,De Meesterzangers van N¸rnberg,29/03/1904,Feestavond,False,574627,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von N¸rnberg,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00117-20211201_171447.jpg,1903-1904,Czaar en Timmerman,03/04/1904,Volksvertoning,False,818375,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00119-20211201_171502.jpg,1903-1904,Hans en Grietje,02/04/1904,Sluiting van het Toneeljaar,True,608609,Hans en Grietje,N/A,N/A,N/A,N/A,N/A,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00119-20211201_171502.jpg,1903-1904,Cleopatra,02/04/1904,Sluiting van het Toneeljaar,True,608609,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00121-20211201_171515.jpg,1903-1904,Het Arendsnest,05/04/1904,,True,138456,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1903-1904 Nederlandsch Lyrisch Tooneel Programma's _00121-20211201_171515.jpg,1903-1904,Herbergprinses,05/04/1904,,True,138456,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1903-1904,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00015-20211201_181301.jpg,1904-1905,Tannh√§user,01/10/1904,opening van het toneeljaar,False,553364,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00024-20211201_181452.jpg,1904-1905,De Barbier van Bagdad,08/10/1904,Eerste opvoering in Belgi√´,True,253670,De Barbier van Bagdad,DUI,Peter Cornelius,1858,Der Barbier von Bagdad,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00024-20211201_181452.jpg,1904-1905,Het Arendsnest,08/10/1904,Eerste opvoering in Belgi√´,True,253670,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00026-20211201_181514.jpg,1904-1905,De Barbier van Bagdad,11/10/1904,,True,362309,De Barbier van Bagdad,DUI,Peter Cornelius,1858,Der Barbier von Bagdad,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00026-20211201_181514.jpg,1904-1905,Het Arendsnest,11/10/1904,,True,362309,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00028-20211201_181529.jpg,1904-1905,Zeevolk,15/10/1904,Gala,False,887158,Zeevolk,FR,Paul Gilson,1904,Gens de Mer,lyric opera,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00029-20211201_181533.jpg,1904-1905,De Barbier van Bagdad,15/10/1904,,True,696519,De Barbier van Bagdad,DUI,Peter Cornelius,1858,Der Barbier von Bagdad,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00030-20211201_181547.jpg,1904-1905,Tannh√§user,18/10/1904,,False,221894,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00032-20211201_181611.jpg,1904-1905,Zeevolk,22/10/1904,,False,690452,Zeevolk,FR,Paul Gilson,1904,Gens de Mer,lyric opera,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00033-20211201_183205.jpg,1904-1905,De Barbier van Bagdad,22/10/1904,,True,590080,De Barbier van Bagdad,DUI,Peter Cornelius,1858,Der Barbier von Bagdad,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00034-20211201_183217.jpg,1904-1905,Cleopatra,25/10/1904,,False,211954,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00034-20211201_183217.jpg,1904-1905,Ondine,29/10/1904,,False,112043,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00036-20211201_183236.jpg,1904-1905,Herbergprinses,01/11/1904,,False,601709,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00040-20211201_183314.jpg,1904-1905,Ondine,05/11/1904,,False,429073,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00042-20211201_183328.jpg,1904-1905,Ondine,08/11/1904,,False,123931,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00044-20211201_183346.jpg,1904-1905,Zeevolk,12/11/1904,,False,817462,Zeevolk,FR,Paul Gilson,1904,Gens de Mer,lyric opera,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00044-20211201_183346.jpg,1904-1905,Herbergprinses,13/11/1904,,False,343244,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00045-20211201_183352.jpg,1904-1905,De Barbier van Bagdad,12/11/1904,,True,381862,De Barbier van Bagdad,DUI,Peter Cornelius,1858,Der Barbier von Bagdad,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00046-20211201_183404.jpg,1904-1905,Tannh√§user,15/11/1904,,False,966765,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00048-20211201_183422.jpg,1904-1905,Herbergprinses,19/11/1904,,True,378904,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00048-20211201_183422.jpg,1904-1905,Het Minnebrugje,19/11/1904,,True,378904,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00048-20211201_183422.jpg,1904-1905,Quinten Massijs,22/11/1904,,False,525662,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00050-20211201_183437.jpg,1904-1905,Lohengrin,26/11/1904,,False,851986,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00051-20211201_183442.jpg,1904-1905,Quinten Massys,22/11/1904,,False,779845,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00053-20211201_183506.jpg,1904-1905,Zeevolk,26/11/1904,,True,267521,Zeevolk,FR,Paul Gilson,1904,Gens de Mer,lyric opera,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00053-20211201_183506.jpg,1904-1905,Quinten Massijs,26/11/1904,,True,267521,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00054-20211201_183522.jpg,1904-1905,Herbergprinses,29/11/1904,,True,434353,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00054-20211201_183522.jpg,1904-1905,Het Minnebrugje,29/11/1904,,True,434353,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00054-20211201_183522.jpg,1904-1905,Lohengrin,03/12/1904,,False,752068,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00055-20211201_183528.jpg,1904-1905,Quinten Massijs,29/11/1904,Gala-vertoning bijgewoond door den Heeren Burgemeester en Schepenen der stad Antwerpen,False,940788,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00056-20211201_183544.jpg,1904-1905,Herbergprinses,03/12/1904,,False,163608,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00056-20211201_183544.jpg,1904-1905,Lohengrin,06/12/1904,,False,613250,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00057-20211201_183550.jpg,1904-1905,Het Minnebrugje,03/12/1904,,True,322795,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00058-20211201_183602.jpg,1904-1905,Hansje en Grietje,11/12/1904,,False,786654,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,H√§nsel und Gretel,kinder opera,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00059-20211201_183608.jpg,1904-1905,Lohengrin,10/12/1904,,False,975564,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00061-20211201_183632.jpg,1904-1905,Lohengrin,13/12/1904,,False,193214,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00064-20211201_183703.jpg,1904-1905,De Tooverfluit,17/12/1904,,False,169324,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberfl√∂te,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00066-20211201_183722.jpg,1904-1905,Quinten Massijs,20/12/1904,,False,204792,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00067-20211201_183734.jpg,1904-1905,Quinten Massys,20/12/1904,,False,360962,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00068-20211201_183905.jpg,1904-1905,Lohengrin,24/12/1904,,False,997943,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00068-20211201_183905.jpg,1904-1905,De Tooverfluit,27/12/1904,,False,528677,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberfl√∂te,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00070-20211201_183918.jpg,1904-1905,Czaar en Timmerman,31/12/1904,,False,160431,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00074-20211201_183959.jpg,1904-1905,Herbergprinses,03/01/1905,,False,778066,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00074-20211201_183959.jpg,1904-1905,De Kus,07/01/1905,,False,482850,De Kus,TSJ,Bed≈ôich Smetana,1976,Hubiƒçka,?,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00075-20211201_184005.jpg,1904-1905,Herbergrprinses,03/01/1905,Volksvertoning,False,223222,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00078-20211201_184042.jpg,1904-1905,De Kus,10/01/1905,,False,882571,De Kus,TSJ,Bed≈ôich Smetana,1976,Hubiƒçka,?,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00079-20211201_184048.jpg,1904-1905,Het Minnebrugje,10/01/1905,,True,219321,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00080-20211201_184104.jpg,1904-1905,De Tooverfluit,14/01/1905,,False,599991,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberfl√∂te,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00080-20211201_184104.jpg,1904-1905,Quinten Massijs,15/01/1905,,False,519437,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00080-20211201_184104.jpg,1904-1905,Ondine,17/01/1905,,False,331908,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00081-20211201_184110.jpg,1904-1905,De Kus,14/01/1905,,True,874247,De Kus,TSJ,Bed≈ôich Smetana,1976,Hubiƒçka,?,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00081-20211201_184110.jpg,1904-1905,Zeevolk,14/01/1905,,True,874247,Zeevolk,FR,Paul Gilson,1904,Gens de Mer,lyric opera,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00084-20211201_184143.jpg,1904-1905,Lohengrin,21/01/1905,,False,601587,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00084-20211201_184143.jpg,1904-1905,De Bruid der Zee,24/01/1905,,False,911676,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00085-20211201_184150.jpg,1904-1905,De  Kus,21/01/1905,,True,737878,De  Kus,N/A,N/A,N/A,N/A,N/A,1904-1905,Jef Judels & Bernard Tokkie
1904-1905 Nederlands Lyrisch Tooneel programmas_00085-20211201_184150.jpg,1904-1905,Het Arendsnest,21/01/1905,,True,737878,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,1904-1905,Jef Judels & Bernard Tokkie
