,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Multiple bill,Season,Occasion,Language,Dutch,German
47,1894-03-27,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
48,1894-03-29,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
49,1894-04-03,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
50,1894-04-05,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
51,1894-04-14,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1893-1894,N,other,False,False
52,1894-04-19,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,False,1893-1894,N,Dutch,True,False
53,1894-04-21,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1893-1894,N,German,False,True
54,1894-04-24,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1893-1894,N,other,False,False
55,1894-10-06,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,False,1894-1895,N,German,False,True
56,1894-10-09,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,False,1894-1895,N,German,False,True
57,1894-10-13,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
58,1894-10-16,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
59,1894-10-20,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,False,1894-1895,N,German,False,True
60,1894-10-23,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
61,1894-10-27,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
62,1894-10-30,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1894-1895,N,German,False,True
63,1894-11-03,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
64,1894-11-06,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,N,other,False,False
65,1894-11-10,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,N,other,False,False
66,1894-11-13,1821,Edward Keurvels & Henry Fontaine,Preciosa,Carl Maria von Weber,False,False,1894-1895,N,German,False,True
67,1894-11-17,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,N,other,False,False
68,1894-11-20,?,Edward Keurvels & Henry Fontaine,Bergliot,Edvard Grieg,False,False,1894-1895,N,other,False,False
69,1894-11-24,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,G,German,False,True
70,1894-12-04,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
71,1894-12-01,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,G,other,False,False
72,1894-12-07,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,N,other,False,False
73,1894-12-08,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
74,1894-12-11,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
75,1894-12-15,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,G,German,False,True
76,1894-12-26,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
77,1894-12-18,1873,Edward Keurvels & Henry Fontaine,Jeanne D'Arc,Charles Gounod,False,False,1894-1895,N,other,False,False
78,1894-12-22,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
79,1894-12-25,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
80,1894-12-29,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
81,1895-01-02,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
82,1895-01-02,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,N,other,False,False
83,1895-01-05,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1894-1895,N,other,False,False
84,1895-08-01,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
85,1895-01-12,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
86,1895-01-15,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
87,1895-01-19,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
88,1895-01-22,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
